prob,score
0.08024051420277835,0
0.001451378809869376,5
0.0016587186398507154,10
0.0008293593199253577,15
0.0026954177897574125,20
0.004976155919552146,25
0.5529753265602322,30
0.013477088948787063,35
0.015550487248600456,40
0.01057433132904831,45
0.019489944018245903,50
0.0657267261040846,55
0.019697283848227245,60
0.00352477710968277,65
0.0646900269541779,70
0.015757827078581796,75
0.00704955421936554,80
0.008293593199253577,85
0.019489944018245903,90
0.07816711590296496,95
0.0136844287787684,100
